,고객번호,14년 1분기,14년 2분기,14년 3분기,14년 4분기,15년 1분기,15년 2분기,15년 3분기,15년 4분기
30,00031,1223260.0,1286600.0,1798110.0,2473570.0,1775430.0,1450430.0,1752000.0,1789220.0
31,00032,1319523.0,2467029.0,2969742.0,2384005.0,2209182.0,2323533.0,2585678.0,3285695.0
32,00033,1447541.0,1466687.0,1163354.0,1044212.0,1267104.0,1246006.0,1583389.0,1324792.0
33,00034,1646370.0,3318660.0,1482830.0,2672720.0,1555600.0,2059370.0,1406310.0,981360.0
34,00035,3885582.0,5162316.0,7574702.0,3173982.0,5698318.0,6544283.0,5485159.0,7176664.0
35,00036,4557674.0,8979670.0,4983214.0,6193765.0,1777330.0,8395980.0,5563410.0,3058300.0
36,00037,1939760.0,3299760.0,7857000.0,17381100.0,6778700.0,9978120.0,5986010.0,7557820.0
37,00038,2401493.0,2321026.0,3129021.0,2876393.0,2871803.0,2622836.0,3484012.0,3928871.0
38,00039,70381190.0,44015980.0,6750910.0,17999540.0,5752510.0,29878828.0,14685210.0,18249174.0
39,00040,2319369.0,4229500.0,1934555.0,2119309.0,4375310.0,2740723.0,5529757.0,3013547.0
40,00041,1943310.0,3019310.0,1288300.0,2861540.0,3065050.0,1873500.0,1843410.0,2768790.0
41,00042,1478775.0,2025300.0,1685746.0,1358452.0,2325132.0,2059015.0,2046521.0,2969511.0
42,00043,1022594.0,765960.0,376723.0,2269903.0,564128.0,878222.0,896566.0,759031.0
43,00044,4951660.0,2881350.0,4139926.0,50674360.0,6885140.0,2947774.0,8215580.0,29793100.0
44,00045,26163580.0,1680743.0,14488990.0,46975826.0,27815472.0,49528060.0,18865340.0,44519400.0
45,00046,22752150.0,14327290.0,2812430.0,8554740.0,39845130.0,8849270.0,10080860.0,26959080.0
46,00047,3379917.0,3721529.0,5208876.0,1887648.0,2155692.0,1671663.0,1135156.0,1626835.0
47,00048,6656870.0,9060110.0,15644210.0,7586700.0,14094990.0,11080190.0,8349400.0,10701170.0
48,00049,8902324.0,11717430.0,9992860.0,4832550.0,13655280.0,8537120.0,23264950.0,10532340.0
49,00050,3255880.0,4183380.0,3225890.0,3370120.0,2760020.0,2654940.0,2693445.0,3065846.0
50,00051,4272033.0,3001462.0,2217171.0,4761148.0,2272448.0,1788288.0,1385335.0,2502194.0
51,00052,7025570.0,4767930.0,3359340.0,4679110.0,4536500.0,6226250.0,3591840.0,2791130.0
52,00053,3181121.0,15027410.0,2392626.0,17225290.0,4251440.0,4890400.0,2186455.0,3393900.0
53,00054,1394770.0,1749900.0,1280510.0,1526940.0,1042540.0,1149110.0,944030.0,1568430.0
54,00055,958319.0,707018.0,1316262.0,1167895.0,1037934.0,770846.0,1088412.0,556443.0
55,00056,15236800.0,13074040.0,2681680.0,9419280.0,22314590.0,13869773.0,3945440.0,12040410.0
56,00057,1222187.0,1392161.0,1005413.0,1201230.0,2272419.0,710210.0,1219590.0,1306780.0
57,00058,3238860.0,2873780.0,2558800.0,4900970.0,2908730.0,2569830.0,2344750.0,5128940.0
58,00059,3533180.0,4896510.0,2935829.0,3183529.0,2282390.0,3624610.0,3115630.0,3695074.0
59,00060,2221767.0,3873080.0,2530825.0,4254414.0,2558641.0,4095347.0,4596957.0,6365338.0
60,00061,6020551.0,4424332.0,2531584.0,2768934.0,2152788.0,2317706.0,3356328.0,3285880.0
61,00062,1481480.0,4242354.0,3309781.0,2905409.0,2320817.0,2209153.0,2282436.0,2433892.0
62,00063,446640.0,865810.0,651800.0,814130.0,877960.0,871770.0,1039100.0,604170.0
63,00064,656455.0,654102.0,641827.0,738716.0,472020.0,298225.0,57864.0,332910.0
64,00065,1882381.0,1922410.0,3981756.0,1047109.0,4199186.0,2698764.0,1310998.0,2310970.0
65,00066,2982170.0,2017641.0,1837812.0,2447856.0,2243914.0,2382868.0,2176310.0,2251955.0
66,00067,920096.0,1016895.0,1269058.0,1534348.0,1458587.0,1419065.0,1586810.0,1533288.0
67,00068,78603595.0,55851379.0,31037416.0,31513950.0,42485202.0,15391593.0,19596078.0,28811632.0
68,00069,1535783.0,1835016.0,2217853.0,1953482.0,1753836.0,1968463.0,2321452.0,2146743.0
69,00070,4694870.0,1988570.0,8527020.0,4463940.0,2777540.0,2284000.0,2264770.0,5275600.0
70,00071,561515.0,598066.0,614773.0,561802.0,797832.0,511519.0,721969.0,405158.0
71,00072,1020789.0,681581.0,1705597.0,1208410.0,1245738.0,1140730.0,1241852.0,1570518.0
72,00073,28485950.0,30636870.0,38019620.0,25893100.0,39186010.0,20294480.0,25824620.0,23867460.0
73,00074,4431380.0,9246320.0,6472790.0,3328210.0,3259710.0,1903400.0,944750.0,2401340.0
74,00075,544721.0,729601.0,732050.0,774474.0,584426.0,523780.0,602800.0,670510.0
75,00076,1329355.0,1553511.0,1096008.0,2116060.0,969728.0,2048582.0,1304710.0,1848690.0
76,00077,4160660.0,5207551.0,4014420.0,4297405.0,3833980.0,4059738.0,3387702.0,7386180.0
77,00078,9661046.0,6476746.0,9442940.0,10077320.0,11834320.0,21860531.0,11556880.0,11456120.0
78,00079,1929173.0,1926940.0,2251060.0,2298768.0,1383812.0,2223819.0,2353206.0,1561579.0
79,00080,1018370.0,803539.0,1184877.0,1499466.0,1274220.0,1705319.0,1134254.0,2263185.0
80,00081,9648280.0,5345640.0,8569870.0,5524898.0,7236120.0,12309970.0,16627000.0,9063100.0
81,00082,14685000.0,9344720.0,34529760.0,9668256.0,13427744.0,16844182.0,29510798.0,26310630.0
82,00083,5450290.0,10701470.0,26653649.0,9526580.0,14593470.0,15034580.0,28313810.0,12123100.0
83,00084,8664270.0,2829950.0,3601820.0,1965460.0,27610820.0,10781550.0,1703480.0,6087550.0
84,00085,871670.0,826810.0,781780.0,2080620.0,1886820.0,2587970.0,2549160.0,2616200.0
85,00086,2342841.0,5234111.0,3982695.0,6046220.0,5265728.0,4279730.0,5234417.0,8456774.0
86,00087,18394690.0,10127120.0,616330.0,5455700.0,6006830.0,1745222.0,5453640.0,3805610.0
87,00088,4478997.0,8576720.0,5783003.0,8205660.0,7893672.0,4426446.0,4560837.0,19763157.0
88,00089,1092037.0,3215351.0,2016455.0,1760804.0,2452591.0,1936404.0,1483152.0,2041212.0
89,00090,2815070.0,3344920.0,3469882.0,25561930.0,3394800.0,4402130.0,7830360.0,7022990.0
90,00091,2267560.0,2440318.0,2482070.0,2256460.0,2808790.0,2177960.0,2605102.0,2025277.0
91,00092,5716969.0,5188509.0,5877039.0,9422091.0,5100993.0,7204233.0,8570881.0,9268070.0
92,00093,11440860.0,9534660.0,17703630.0,10597700.0,16664310.0,21310980.0,13534250.0,15369847.0
93,00094,104730.0,365921.0,6387770.0,11029500.0,4685690.0,4079446.0,13398870.0,32529720.0
94,00095,946216.0,1025296.0,624975.0,1404470.0,1021532.0,791132.0,1153227.0,996893.0
95,00096,4026400.0,9718200.0,5363810.0,2843070.0,3085770.0,1599980.0,3105100.0,2305600.0
96,00097,149972666.0,107454112.0,152340434.0,96039920.0,157527159.0,149845103.0,97839596.0,68534916.0
97,00098,2231922.0,2149150.0,3209642.0,3615427.0,3795300.0,2353240.0,2347034.0,2488372.0
98,00099,19505743.0,19756380.0,45561104.0,38227544.0,22306641.0,44351451.0,25004631.0,43286272.0
99,00100,1087754.0,6034120.0,5227284.0,10327680.0,1708190.0,1008735.0,2133904.0,107640.0
100,00101,1494284.0,455823.0,544997.0,819199.0,1030556.0,668501.0,997193.0,1029698.0
101,00102,37042615.0,13238643.0,9020276.0,18995390.0,6133723.0,11240664.0,6728760.0,11188563.0
102,00103,701465.0,458208.0,870994.0,361758.0,632396.0,507212.0,743116.0,465669.0
103,00104,1790814.0,1963938.0,2200595.0,2654413.0,1549021.0,1848447.0,2215491.0,1535311.0
104,00105,2264901.0,3064722.0,3812093.0,2858080.0,2706222.0,1843351.0,3448232.0,2621449.0
105,00106,9659700.0,10313940.0,3533650.0,10115550.0,3257180.0,9952770.0,8340769.0,14708060.0
106,00107,8131645.0,11922836.0,13607140.0,22918070.0,19596710.0,18011337.0,8339577.0,32552550.0
107,00108,2070080.0,1265440.0,1500740.0,1807260.0,1194830.0,2421120.0,2091920.0,2520410.0
108,00109,1928208.0,1234706.0,1363717.0,1197325.0,691190.0,758497.0,866118.0,800408.0
109,00110,2253010.0,3280626.0,5587689.0,4417398.0,3433772.0,2958419.0,3130398.0,1936583.0
110,00111,621676.0,440484.0,913215.0,509978.0,669429.0,769153.0,593062.0,685034.0
111,00112,13137840.0,5353110.0,7205770.0,7610884.0,9165610.0,9346217.0,17093888.0,31967937.0
112,00113,11297735.0,11953127.0,8744487.0,21745172.0,11343811.0,13605521.0,6721316.0,9911805.0
113,00114,1722331.0,4490474.0,4518848.0,3169187.0,2762385.0,4139938.0,1280752.0,1855132.0
114,00115,2170790.0,8838430.0,8391767.0,9909780.0,14764530.0,10132661.0,3038050.0,11530350.0
115,00116,975598.0,1250920.0,1027737.0,848308.0,932457.0,1264891.0,715491.0,1151195.0
116,00117,6377684.0,1473600.0,12502218.0,6910870.0,3652224.0,4790096.0,3396908.0,5713565.0
117,00118,8057500.0,8837720.0,9887850.0,27258860.0,12864230.0,11904930.0,11908160.0,14563660.0
118,00119,3612583.0,14804539.0,5382170.0,11022680.0,12658150.0,8648316.0,8231392.0,2624380.0
119,00120,33038370.0,43501270.0,24529100.0,30267270.0,27275196.0,25029370.0,28828272.0,32313570.0
120,00121,2800540.0,1621070.0,784169.0,2524558.0,4575158.0,1369014.0,2301977.0,4140230.0
121,00122,3184190.0,3901547.0,3531473.0,3442380.0,6793530.0,8074698.0,6187420.0,5430642.0
122,00123,1633146.0,909264.0,1425054.0,1338104.0,1551900.0,1378337.0,1228008.0,1219225.0
123,00124,7230460.0,3354840.0,3625060.0,4120660.0,1862190.0,8879160.0,1672970.0,8696760.0
124,00125,3194364.0,1891706.0,1750470.0,1411770.0,1686260.0,2779820.0,587590.0,2357951.0
125,00126,4044236.0,914198.0,1093365.0,11059299.0,9514467.0,4957679.0,2518717.0,6595448.0
126,00127,892280.0,902190.0,1327274.0,439620.0,1225350.0,462300.0,648430.0,1216630.0
127,00128,1216347.0,1006863.0,2621342.0,884273.0,464766.0,1097013.0,1296812.0,207014.0
128,00129,569358.0,1060077.0,761142.0,955165.0,766923.0,919724.0,1215352.0,972468.0
129,00130,9294056.0,8554250.0,5935596.0,6430784.0,6599698.0,4639933.0,1689354.0,2744579.0
130,00131,3003775.0,6201515.0,5218525.0,2302616.0,3406880.0,4789680.0,4632422.0,3270222.0
131,00132,1484619.0,1284505.0,1494327.0,2276398.0,2519927.0,1434609.0,417184.0,1229540.0
132,00133,2042588.0,2190430.0,3237438.0,2066390.0,3553460.0,3047770.0,3353531.0,5154440.0
133,00134,15441111.0,9038670.0,7436250.0,8247980.0,14548200.0,19450470.0,14486070.0,16566713.0
134,00135,579350.0,4276100.0,2582960.0,1030928.0,889470.0,1286380.0,1846680.0,516150.0
135,00136,150110.0,3178040.0,4837400.0,4261330.0,696570.0,3368580.0,1235610.0,13195540.0
136,00137,10044412.0,10750185.0,7512844.0,9667770.0,13352057.0,9734151.0,17155046.0,35114284.0
137,00138,5454130.0,4809340.0,4979740.0,9760730.0,6092860.0,7099930.0,3007262.0,7348910.0
138,00139,4614596.0,6998344.0,8866410.0,11622810.0,2554070.0,3680014.0,5471269.0,5137749.0
139,00140,48359880.0,19727450.0,36931680.0,34970126.0,20958820.0,24095400.0,49460300.0,14556500.0
140,00141,626415.0,673526.0,551034.0,579379.0,615901.0,805110.0,1113628.0,799630.0
141,00142,192000.0,50690.0,,196350.0,52000.0,52000.0,132000.0,192750.0
142,00143,730254.0,719496.0,841359.0,842413.0,744441.0,1319790.0,1139587.0,1024732.0
143,00144,9311110.0,13767315.0,15565606.0,10907113.0,9468840.0,2082314.0,8070904.0,1104626.0
144,00145,5436405.0,7842400.0,21234290.0,41293382.0,7431050.0,12362032.0,24859124.0,19802100.0
145,00146,15725000.0,12719740.0,8386990.0,14111150.0,19152340.0,11761110.0,6096230.0,13216670.0
146,00147,13328599.0,10727994.0,8110580.0,17783750.0,18845645.0,10418230.0,5607510.0,12581694.0
147,00148,550987.0,477116.0,787717.0,722152.0,691923.0,911086.0,688825.0,836291.0
148,00149,2484360.0,2153607.0,5169748.0,4451540.0,2099220.0,4982879.0,1621837.0,4614832.0
149,00150,3134618.0,7186039.0,2067977.0,3755871.0,1856613.0,4273968.0,1402460.0,634174.0
150,00151,7291110.0,25805624.0,8119005.0,7240371.0,4137211.0,6553967.0,13888973.0,9953690.0
151,00152,4847090.0,2933169.0,3535189.0,3234042.0,4660740.0,5545910.0,4583530.0,3549510.0
152,00153,1213303.0,762909.0,874931.0,4028975.0,972153.0,1431400.0,804957.0,876610.0
153,00154,25839910.0,8764149.0,1868625.0,1627200.0,1090480.0,1818480.0,20595990.0,10119315.0
154,00155,4740200.0,6338040.0,11126970.0,5692220.0,6598231.0,5557200.0,10042500.0,5601450.0
155,00156,15538510.0,11374610.0,14550990.0,13315320.0,35998740.0,30291360.0,8544270.0,20835730.0
156,00157,1551135.0,1245910.0,1962620.0,1604937.0,1352214.0,1447580.0,2148220.0,2775500.0
157,00158,829480.0,860980.0,1538399.0,1840585.0,1012757.0,2509787.0,1187346.0,2016308.0
158,00159,8150650.0,15372740.0,7217370.0,19861285.0,30400168.0,20769637.0,6321160.0,35786600.0
159,00160,2758530.0,2420784.0,2088230.0,2033149.0,3003600.0,3387562.0,2196473.0,2640719.0
160,00161,46766598.0,7903533.0,11818150.0,43211270.0,17498615.0,14898656.0,8261526.0,21280110.0
161,00162,3982416.0,10012970.0,5417970.0,15018020.0,13738860.0,8637103.0,5736637.0,7656854.0
162,00163,1273919.0,1782703.0,1363949.0,1279383.0,1286196.0,1231626.0,2073937.0,1179571.0
163,00164,33052310.0,8147973.0,6296907.0,10776800.0,8270110.0,13706461.0,22317208.0,7115097.0
164,00165,1341130.0,6008010.0,5735370.0,7932796.0,7776505.0,1273200.0,1649899.0,9102370.0
165,00166,2775780.0,5603300.0,3475987.0,6220636.0,3221520.0,3435036.0,3933990.0,5757281.0
166,00167,4671190.0,3577260.0,2139390.0,15551800.0,3602480.0,4194220.0,7074770.0,3456500.0
167,00168,7415911.0,12052125.0,8255208.0,12134368.0,6019887.0,17410739.0,6688732.0,15256500.0
168,00169,1820104.0,815493.0,579859.0,134029.0,806639.0,1023929.0,2053341.0,1162747.0
169,00170,1182112.0,1950453.0,2077364.0,1288715.0,1543234.0,1909694.0,2182120.0,2276551.0
170,00171,1987760.0,1687870.0,3815160.0,7590505.0,1425400.0,3609980.0,5553205.0,2728510.0
171,00172,2159110.0,3820610.0,2519523.0,2837835.0,2566343.0,2777536.0,3604822.0,2285261.0
172,00173,1143828.0,1374556.0,1882908.0,1295771.0,1047398.0,2642462.0,1175008.0,1496285.0
173,00174,386500.0,,,,,38700.0,,
174,00175,3625608.0,3357526.0,3956780.0,3266458.0,4951805.0,5567361.0,5268377.0,5012800.0
175,00176,916288.0,909042.0,1515033.0,964556.0,906722.0,1311492.0,794530.0,798264.0
176,00177,10806854.0,18186737.0,6468388.0,13397130.0,13639675.0,8791693.0,7205193.0,15517560.0
177,00178,2977798.0,1824576.0,1698881.0,3875791.0,2491392.0,2128682.0,2551972.0,2741843.0
178,00179,6745230.0,4926792.0,5792040.0,5673981.0,8316047.0,6553828.0,5204970.0,6380810.0
179,00180,4303760.0,5691800.0,2936100.0,6939490.0,13826600.0,6397030.0,4108370.0,9189460.0
180,00181,5863380.0,3889370.0,3771680.0,13810670.0,5411470.0,10672690.0,9812760.0,14628594.0
181,00182,5934720.0,9201090.0,11261195.0,11084186.0,8480475.0,14039677.0,12709904.0,9616367.0
182,00183,1803306.0,1518554.0,1783995.0,1976920.0,2152047.0,1605631.0,1154896.0,1463219.0
183,00184,5854006.0,13617801.0,2711380.0,6527294.0,1127112.0,3122634.0,854660.0,3994270.0
184,00185,21020.0,929835.0,1722566.0,2224271.0,2100646.0,2023010.0,1568607.0,335912.0
185,00186,22007226.0,12094120.0,6285720.0,7872709.0,10873361.0,8572608.0,5768917.0,4323842.0
186,00187,6592190.0,1985724.0,1320750.0,1942860.0,1570070.0,2029700.0,2765639.0,2108945.0
187,00188,1813510.0,1431643.0,2239019.0,1517541.0,2122091.0,1627175.0,2212998.0,2406322.0
188,00189,5915690.0,7418950.0,28685010.0,18402260.0,13083590.0,8643610.0,8134000.0,9038070.0
189,00190,7086580.0,4344360.0,3459580.0,4887030.0,9491050.0,8532600.0,2484620.0,9226103.0
190,00191,12472710.0,10533940.0,7564150.0,12846720.0,7334510.0,5824510.0,17483670.0,14344020.0
191,00192,889550.0,5262262.0,4149930.0,10769026.0,2037770.0,3991060.0,6206090.0,8936550.0
192,00193,1044403.0,1444304.0,1272946.0,1259991.0,987389.0,1458761.0,1365050.0,1536493.0
193,00194,1757069.0,2033550.0,1904553.0,1878225.0,1693645.0,2074250.0,1938554.0,1832591.0
194,00195,839753.0,522690.0,732333.0,775886.0,734198.0,1120359.0,1395392.0,954269.0
195,00196,2971743.0,5774540.0,2924134.0,4853568.0,3921917.0,3170331.0,3259049.0,4404979.0
196,00197,3831288.0,4609995.0,2633640.0,14284546.0,5944104.0,27301505.0,25244847.0,13484157.0
197,00198,919716.0,2626941.0,1479312.0,1736458.0,1122556.0,2188319.0,2189050.0,2055953.0
198,00199,888749.0,2704941.0,2103070.0,3541648.0,2764919.0,2444853.0,2059264.0,2206980.0
199,00200,1668267.0,1725009.0,1916970.0,2153538.0,1326760.0,2027146.0,466019.0,1351090.0
200,00201,14916164.0,15393880.0,17552080.0,27361500.0,8720060.0,8191280.0,15259030.0,15822910.0
201,00202,7420816.0,10139399.0,10474589.0,14317668.0,11976252.0,9552908.0,13098621.0,25303116.0
202,00203,878949.0,863249.0,915883.0,868289.0,911694.0,903938.0,873324.0,551417.0
203,00204,3240366.0,3036755.0,2945321.0,3489340.0,2103787.0,2426442.0,3221406.0,3809472.0
204,00205,4855927.0,3377660.0,3076761.0,4171888.0,3465328.0,1665373.0,2120310.0,2352174.0
205,00206,1865490.0,1393405.0,2454436.0,1980703.0,2432544.0,1423085.0,2061970.0,2880737.0
206,00207,869825.0,722135.0,1120938.0,1266263.0,868484.0,1197430.0,1069128.0,935879.0
207,00208,10133470.0,16485000.0,14928050.0,17188040.0,9321000.0,1287440.0,641510.0,145330.0
208,00209,3584760.0,1643790.0,2173972.0,3316146.0,810850.0,3657350.0,1816824.0,914990.0
209,00210,469975.0,677774.0,770134.0,974261.0,661975.0,900657.0,859861.0,888130.0
210,00211,1634900.0,834104.0,2738720.0,1255960.0,4227290.0,2144780.0,4594910.0,4158450.0
211,00212,2584360.0,2462511.0,2360938.0,3557432.0,1598186.0,4294459.0,2050305.0,1630141.0
212,00213,4976349.0,4057794.0,3022443.0,6669665.0,4903533.0,8067193.0,8166052.0,8019724.0
213,00214,2110277.0,3015459.0,2006335.0,1369403.0,1712208.0,4498488.0,2359874.0,3882562.0
214,00215,1230533.0,1599103.0,1529231.0,1680168.0,1838915.0,2130555.0,2352505.0,1928519.0
215,00216,1614540.0,1414404.0,1542045.0,1590398.0,1606056.0,1449133.0,1388211.0,1070945.0
216,00217,1506990.0,1327690.0,1185070.0,1392840.0,809950.0,2673750.0,1399260.0,4116420.0
217,00218,9272999.0,26968502.0,33252120.0,35221720.0,10499270.0,20940816.0,32254353.0,44439420.0
218,00219,6018500.0,6312900.0,3067141.0,11483980.0,4578849.0,7841842.0,4982270.0,6554608.0
219,00220,2135243.0,2151250.0,1790092.0,2719729.0,1772263.0,3137214.0,3123607.0,2498893.0
220,00221,1154313.0,1027376.0,1272866.0,1969954.0,1616392.0,1090329.0,1267614.0,1313574.0
221,00222,9709910.0,6595590.0,8472533.0,8233034.0,14279845.0,6337208.0,16063852.0,6396386.0
222,00223,4094650.0,5457080.0,2763510.0,27961830.0,11465860.0,50827520.0,24296340.0,9725420.0
223,00224,30395179.0,10367450.0,31422440.0,14506528.0,27158527.0,15402520.0,11059900.0,36806407.0
224,00225,16838270.0,16860157.0,14162460.0,23880300.0,25289190.0,30747130.0,10282730.0,30420370.0
225,00226,1278151.0,1766671.0,948012.0,1467842.0,937420.0,2234972.0,1348405.0,1140897.0
226,00227,637041.0,709655.0,825056.0,1454881.0,671400.0,501524.0,661118.0,498065.0
227,00228,1445579.0,976497.0,1264711.0,1034931.0,1676943.0,1409824.0,2581341.0,2359308.0
228,00229,7077320.0,12045080.0,4852940.0,9606110.0,9719630.0,10007900.0,15227420.0,4835520.0
229,00230,2058720.0,1823990.0,1077420.0,1377750.0,2043370.0,2608550.0,1878200.0,1389730.0
230,00231,1165238.0,1628901.0,2311343.0,1412060.0,1037482.0,1087365.0,1025112.0,892923.0
231,00232,725680.0,1745920.0,1386156.0,1346380.0,1218900.0,1066280.0,1428040.0,979460.0
232,00233,1503910.0,1167553.0,5078319.0,1574273.0,1461608.0,5112703.0,2344352.0,2482102.0
233,00234,1790740.0,2604772.0,2371840.0,3432840.0,3783704.0,3843972.0,12298160.0,2893020.0
234,00235,5187301.0,4108421.0,7988675.0,3441270.0,5647380.0,8441360.0,3767147.0,2998750.0
235,00236,1177145.0,1240323.0,482345.0,861567.0,659959.0,917512.0,1506810.0,2008371.0
236,00237,7120975.0,5714993.0,7592861.0,6492341.0,10392712.0,5014005.0,8649978.0,15743077.0
237,00238,587680.0,2467010.0,1983820.0,5541250.0,1174340.0,2477320.0,1500820.0,917200.0
238,00239,23792560.0,25237730.0,10408690.0,19444234.0,14004250.0,26077560.0,14941590.0,24596690.0
239,00240,2843820.0,7397710.0,1839450.0,1844860.0,458430.0,1062760.0,2239750.0,2977720.0
240,00241,6941780.0,2677540.0,7620580.0,11468860.0,12629540.0,12301230.0,6741060.0,9744810.0
241,00242,641757.0,977214.0,808250.0,1676521.0,1394078.0,1441235.0,1701078.0,1217760.0
242,00243,680165.0,735227.0,562982.0,1052198.0,896275.0,851880.0,1484501.0,1487998.0
243,00244,,1990300.0,2286170.0,2574940.0,4637500.0,8482620.0,11778810.0,7247770.0
244,00245,2524134.0,2817850.0,3384199.0,6122478.0,3300480.0,2683974.0,3362490.0,2928848.0
245,00246,3492970.0,4708420.0,17684480.0,9110929.0,8709338.0,8721770.0,11440340.0,8519720.0
246,00247,3125295.0,2842900.0,3717630.0,4325227.0,3664895.0,2160584.0,2457733.0,1822390.0
247,00248,3282192.0,5249469.0,2403883.0,2470407.0,6090864.0,3756290.0,4610589.0,6891199.0
248,00249,40523310.0,10563290.0,10170502.0,9494350.0,11189510.0,15437190.0,18731090.0,26609770.0
249,00250,11914710.0,19024477.0,17626110.0,15558240.0,10317980.0,17852013.0,22375920.0,9022396.0
250,00251,9104369.0,6405830.0,5167180.0,5164930.0,9712980.0,4045935.0,7557720.0,6643591.0
251,00252,960880.0,1110520.0,1202920.0,1830550.0,1834420.0,1843630.0,290470.0,2703776.0
252,00253,18583500.0,9555260.0,7133970.0,8290580.0,5630910.0,4608880.0,12870350.0,10854621.0
253,00254,10539050.0,9730782.0,16181820.0,20452160.0,34302300.0,18688040.0,9387890.0,10700120.0
254,00255,27821762.0,22618096.0,8017810.0,20697376.0,12298829.0,14472393.0,9494180.0,9768730.0
255,00256,12880330.0,33041939.0,52400650.0,24217371.0,10994611.0,16945659.0,18663868.0,60319430.0
256,00257,2389617.0,1706335.0,1662400.0,2623735.0,1851331.0,1948172.0,1570957.0,2404435.0
257,00258,19670350.0,40567210.0,17357900.0,25342340.0,41504580.0,61607200.0,65182780.0,120922380.0
258,00259,3699605.0,10469056.0,2709649.0,6762760.0,3094369.0,5020209.0,1467160.0,2836230.0
259,00260,1945214.0,2121250.0,1962477.0,1987676.0,930668.0,812169.0,1342605.0,1818749.0
260,00261,7859160.0,5485370.0,1555911.0,4774150.0,2545750.0,3719650.0,2851240.0,1868670.0
261,00262,4912080.0,6025410.0,3819690.0,3849713.0,5212810.0,6198020.0,4659670.0,2137700.0
262,00263,1066245.0,647125.0,1017052.0,658648.0,710786.0,898147.0,981450.0,907198.0
263,00264,1014888.0,1117458.0,1401103.0,2951893.0,1782676.0,1019425.0,1412464.0,1127194.0
264,00265,33083720.0,35006550.0,19711220.0,23453669.0,15109290.0,27767311.0,15899910.0,32197790.0
265,00266,3143620.0,5835917.0,9254243.0,4041850.0,4257320.0,6047391.0,5574055.0,4251660.0
266,00267,3994640.0,7196960.0,4462800.0,12742340.0,7244110.0,4439640.0,3055580.0,7200050.0
